artist_name,book_name,profile_url,publisher_name,publisher_profile_url
Keiko Nomura,DRAGON BLUE,https://photobookers.com/creators/keiko-nomura,Pierre von Kleist Editions,https://photobookers.com/creators/pierre-von-kleist-editions
Ken Grant,Cwm: The Fair Country,https://photobookers.com/creators/ken-grant,RRB Photobooks,https://photobookers.com/creators/rrb-photobooks
Khashayar Javanmardi,Caspian: A Southern Reflection,https://photobookers.com/creators/khashayar-javanmardi,Loose Joints,https://photobookers.com/creators/loose-joints
Kim Boske,Kamiyama,https://photobookers.com/creators/kim-boske,FW Books,https://photobookers.com/creators/fw-books
Kristian Krän,La Soufrière,https://photobookers.com/creators/kristian-kran,Kult Books,https://photobookers.com/creators/kult
Kyle McDougall,An American Mile,https://photobookers.com/creators/kyle-mcdougall,Subjectively Objective,https://photobookers.com/creators/subjectively-objective
Lars Tunbjörk,Office / LA Office,https://photobookers.com/creators/lars-tunbjork,Loose Joints,https://photobookers.com/creators/loose-joints
Laura McCluskey,Close to Home,https://photobookers.com/creators/laura-mccluskey,Guest Editions,https://photobookers.com/creators/guest-editions
Lauren Joy Kennett,Sorry I’m Not Sorry,https://photobookers.com/creators/lauren-joy-kennett,Jane & Jeremy,https://photobookers.com/creators/jane--jeremy
Le Phuong Nguyen,Sunshine,https://photobookers.com/creators/le-phuong-nguyen,Tall Poppy Press,https://photobookers.com/creators/tall-poppy-press
Leon Borensztein,American Portraits 1979-1989,https://photobookers.com/creators/leon-borensztein,Nazraeli Press,https://photobookers.com/creators/nazraeli-press
Lewis Ableidinger,Driving Through Flyover Country,https://photobookers.com/creators/lewis-ableidinger,Subjectively Objective,https://photobookers.com/creators/subjectively-objective
Linda Rosenkrantz,Peter Hujar's Day,https://photobookers.com/creators/linda-rosenkrantz,Magic Hour Press,https://photobookers.com/creators/magic-hour-press
Lisa Donneson,Irreversible Order,https://photobookers.com/creators/lisa-donneson,Art Paper Editions,https://photobookers.com/creators/art-paper-editions
Lora Webb Nichols,Heap-O-Livin’,https://photobookers.com/creators/lora-webb-nichols,FW Books,https://photobookers.com/creators/fw-books
Louis Fratino,Louis Fratino,https://photobookers.com/creators/louis-fratino,Magic Hour Press,https://photobookers.com/creators/magic-hour-press
Luca Iovino,The Name We Hold,https://photobookers.com/creators/luca-iovino,DISKOBAY,https://photobookers.com/creators/diskobay
Lucas Foglia,Constant Bloom,https://photobookers.com/creators/lucas-foglia,Nazraeli Press,https://photobookers.com/creators/nazraeli-press
Mads Holm,HRTLND,https://photobookers.com/creators/mads-holm,DISKOBAY,https://photobookers.com/creators/diskobay
Magdalena Wywrot,Pestka,https://photobookers.com/creators/magdalena-wywrot,Deadbeat Club Press,https://photobookers.com/creators/deadbeat-club-press
Malick Sidibé,Painted Frames,https://photobookers.com/creators/malick-sidibe,Loose Joints,https://photobookers.com/creators/loose-joints
Marc Wilson,"‘The Land is Yellow, the Sky is Blue'",https://photobookers.com/creators/marc-wilson,Two&Two Press,https://photobookers.com/creators/twotwo-press
Marcel Top,Reversed Surveillance,https://photobookers.com/creators/marcel-top,Kult Books,https://photobookers.com/creators/kult
Marcus Gustafsson,Filling in the Gaps,https://photobookers.com/creators/marcus-gustafsson,Kult Books,https://photobookers.com/creators/kult
Margo Davis,Antigua: Photographs 1967-73,https://photobookers.com/creators/margo-davis,Nazraeli Press,https://photobookers.com/creators/nazraeli-press
Marine Lanier,Le Jardin d’Hannibal,https://photobookers.com/creators/marine-lanier,Poursuite Editions,https://photobookers.com/creators/poursuite-editions
Marisa Mu,Every Tile is a Flower,https://photobookers.com/creators/marisa-mu,Tall Poppy Press,https://photobookers.com/creators/tall-poppy-press
Marjolein Martinot,Riverland,https://photobookers.com/creators/marjolein-martinot,Stanley / Barker,https://photobookers.com/creators/stanley--barker
Mark Armijo McKnight,Posthume,https://photobookers.com/creators/mark-armijo-mcknight,TBW Books,https://photobookers.com/creators/tbw-books
Mark Borthwick,Bird’s set Sun’s,https://photobookers.com/creators/mark-borthwick,Jane & Jeremy,https://photobookers.com/creators/jane--jeremy
Mark Power,FASHION,https://photobookers.com/creators/mark-power,GOST,https://photobookers.com/creators/gost
Mark Steinmetz,Greater Atlanta,https://photobookers.com/creators/mark-steinmetz,Nazraeli Press,https://photobookers.com/creators/nazraeli-press
Marshall To,Blank Notes,https://photobookers.com/creators/marshall-to,Charcoal Press,https://photobookers.com/creators/charcoal-press
Marta Bevacqua,Signs_,https://photobookers.com/creators/marta-bevacqua,Setanta Books,https://photobookers.com/creators/setanta-books
Martin Amis,Closed,https://photobookers.com/creators/martin-amis,Photo Editions,https://photobookers.com/creators/photo-editions
Martin Parr,Early Works (Second Edition),https://photobookers.com/creators/martin-parr,RRB Photobooks,https://photobookers.com/creators/rrb-photobooks
Matt Dunne,Site Specific,https://photobookers.com/creators/matt-dunne,Tall Poppy Press,https://photobookers.com/creators/tall-poppy-press
